Time UTC, 6Hr Running Mean
2020-07-01 23:55:00,5.961698706706321
2020-07-02 00:15:00,5.253177852373724
2020-07-02 00:35:00,5.034745502956258
2020-07-02 00:55:00,4.329949736727729
2020-07-02 01:15:00,4.177851521230457
2020-07-02 01:35:00,4.039728186215813
2020-07-02 17:59:00,nan
2020-07-02 18:35:00,5.888639060681137
2020-07-02 19:15:00,6.122095990256482
2020-07-02 19:55:00,6.283854659571933
2020-07-02 20:15:00,8.574356998948847
2020-07-02 20:35:00,11.148604426974163
2020-07-02 21:15:00,11.347783653170717
2020-07-02 21:35:00,10.593694664956548
2020-07-02 21:55:00,9.75849804659039
2020-07-02 22:15:00,9.76499566304191
2020-07-10 14:42:00,nan
2020-07-10 14:55:00,2.533944848520771
2020-07-10 15:15:00,2.5061394529897663
2020-07-10 15:35:00,2.449040017010337
2020-07-10 15:55:00,2.4203644844557584
2020-07-10 16:15:00,2.4154377247556047
2020-07-10 16:35:00,2.4142950470354374
2020-07-10 16:55:00,2.4232057740662065
2020-07-10 17:15:00,2.4347259379707338
2020-07-10 17:35:00,2.4478861550825717
2020-07-10 17:55:00,2.459141292715728
2020-07-10 18:15:00,2.4715350504908074
2020-07-10 18:35:00,2.482226448215038
2020-07-10 18:55:00,2.502918497531394
2020-07-10 19:15:00,2.516616465371045
2020-07-10 19:35:00,2.519400033233145
2020-07-10 19:55:00,2.5203537729927024
2020-07-10 20:15:00,2.523718174168408
2020-07-10 20:35:00,2.532497223420162
2020-07-10 20:55:00,2.5437482904963815
2020-07-10 21:15:00,2.5537970783028507
2020-07-10 21:55:00,2.577706602403029
2020-07-10 22:15:00,2.970662217825531
2020-07-10 22:35:00,3.2101762691626083
2020-07-10 22:55:00,3.6183903921336102
2020-07-10 23:15:00,4.024851813980202
2020-07-10 23:35:00,4.43583174141909
2020-07-11 00:15:00,4.980211776913989
2020-07-11 00:35:00,5.079381128374692
2020-07-11 01:15:00,5.334687905169619
2020-07-11 01:35:00,5.5638229686996015
2020-07-11 01:55:00,5.764865301630327
2020-07-11 02:15:00,6.139797948357881
2020-07-11 02:35:00,6.617300405143431
2020-07-11 02:55:00,6.905276578710218
2020-07-11 03:15:00,7.063398065206359
2020-07-11 03:35:00,7.209959779469593
2020-07-11 03:55:00,7.208973806804119
2020-07-11 04:15:00,7.113433483471299
2020-07-11 04:35:00,7.325684687418039
2020-07-11 04:55:00,7.345838835864464
2020-07-11 05:15:00,7.069092008101094
2020-07-11 05:35:00,6.784760809191132
2020-07-11 05:55:00,6.984087617686107
2020-07-11 06:15:00,7.160057387788805
2020-07-11 06:35:00,7.340338547149826
2020-07-11 06:55:00,7.51441163629537
2020-07-11 07:15:00,7.499478722336554
2020-07-11 07:35:00,7.6937516142010685
2020-07-11 07:55:00,7.665981413256911
2020-07-11 08:15:00,7.6021389981161285
2020-07-11 08:35:00,7.575396201213498
2020-07-11 08:55:00,7.703551807260244
2020-07-11 09:15:00,7.924437091727025
2020-07-11 09:35:00,8.15583773775579
2020-07-11 09:55:00,8.132873839792662
2020-07-11 10:15:00,8.20704669166157
2020-07-11 10:35:00,8.030126547668882
2020-07-11 10:55:00,7.975871155461105
2020-07-11 11:15:00,8.33109626924331
2020-07-11 11:35:00,8.313398903185988
2020-07-11 11:55:00,7.765626114634516
2020-07-11 12:15:00,7.448016306144904
2020-07-11 12:35:00,7.411269566309225
2020-07-11 12:55:00,7.170872496042786
2020-07-11 13:15:00,7.014736912039044
2020-07-11 13:35:00,6.639407100886507
2020-07-11 13:55:00,6.511450698544314
2020-07-11 14:15:00,6.48574273452867
2020-07-11 14:35:00,6.347144654011137
2020-07-11 14:55:00,6.265520625936701
2020-07-11 15:15:00,6.220972725186456
2020-07-11 15:35:00,6.634750013803607
2020-07-11 15:55:00,7.331986435255893
2020-07-11 16:15:00,7.623207675229064
2020-07-11 16:35:00,7.887247349986451
2020-07-11 16:55:00,8.044738161255896
2020-07-11 17:15:00,8.049661486396273
2020-07-11 17:35:00,8.142411653540059
2020-07-11 17:55:00,8.924866543343102
2020-07-11 18:15:00,9.611961219905382
2020-07-11 18:35:00,10.17043197216934
2020-07-11 18:55:00,10.960654446801142
2020-07-11 19:15:00,11.684787863248491
2020-07-11 19:35:00,12.526905672967537
2020-07-11 19:55:00,13.20261932255287
2020-07-11 20:15:00,14.012781677441755
2020-07-11 20:35:00,14.310306048913835
2020-07-11 20:55:00,14.731938612770827
2020-07-11 21:15:00,15.136089533779849
2020-07-11 21:35:00,15.448460855389921
2020-07-11 21:55:00,15.405987941433343
2020-07-11 22:15:00,15.664581900592465
2020-07-11 22:35:00,16.03788958576994
2020-07-11 22:55:00,16.0823896135691
2020-07-11 23:15:00,15.990059759871482
2020-07-11 23:35:00,16.84663172642847
2020-07-11 23:55:00,16.450147885595563
2020-07-12 00:15:00,16.224236819217552
2020-07-12 00:35:00,15.531079855975754
2020-07-12 00:55:00,14.95180822199107
2020-07-12 01:15:00,14.213080234569732
2020-07-12 01:35:00,13.578342666341696
2020-07-12 01:55:00,12.957101272554755
2020-07-12 02:15:00,12.081199837247677
2020-07-12 02:35:00,11.686895476497101
2020-07-12 02:55:00,11.23407627594682
2020-07-12 03:15:00,10.65788554567207
2020-07-12 03:35:00,9.963837318320717
2020-07-12 03:55:00,9.10425998615406
2020-07-12 04:15:00,8.4660494903658
2020-07-12 04:35:00,7.628526592734512
2020-07-12 04:55:00,7.201327494815495
2020-07-12 05:15:00,7.049904222576973
2020-07-12 05:35:00,6.4942997701759415
2020-07-12 05:55:00,6.236674250834329
