Time UTC, KBDI values
 anual mean RainFall, 16.170000
04/07/2010,0.0
04/09/2010,0.9052331800525363
04/10/2010,1.7588932034731894
04/11/2010,2.9747112986577537
04/12/2010,4.4829371206882715
04/13/2010,0.0
04/14/2010,0.0
04/15/2010,0.9223991775121033
04/16/2010,2.8973033071049485
04/17/2010,5.201005321964525
04/18/2010,7.0874720425034194
04/19/2010,9.879469895542892
04/20/2010,13.351964648836224
04/21/2010,5.505834541494171
04/22/2010,0.0
04/23/2010,0.0
04/24/2010,0.7415852611805593
04/25/2010,2.0396080427026
04/26/2010,3.029662184809425
04/27/2010,4.263387763805695
04/28/2010,7.031841899802619
04/29/2010,9.596452166904136
04/30/2010,9.596452166904136
05/01/2010,9.817908346034953
05/02/2010,10.039302477317667
05/03/2010,10.500903840267352
05/04/2010,12.10794740067415
05/05/2010,13.665994903511766
05/06/2010,14.441699079606643
05/07/2010,14.927001244076992
05/08/2010,15.412003598602537
05/09/2010,17.150528839765272
05/10/2010,18.958611842689347
05/11/2010,14.350568682066747
05/12/2010,13.50678574176
05/13/2010,13.966360934286408
05/14/2010,0.0
05/15/2010,1.0652697243449496
05/16/2010,2.8110460431179978
05/17/2010,5.618102016426703
05/18/2010,10.168163448144657
05/19/2010,0.0
05/20/2010,1.5590798898165603
05/21/2010,3.0256305537999406
05/22/2010,0.0
05/23/2010,0.2992271411455394
05/24/2010,0.0
05/25/2010,0.0
05/26/2010,1.7237463104660224
05/27/2010,4.0016332167019
05/28/2010,6.3910583366878715
05/29/2010,8.378818964822532
05/30/2010,9.46984827997099
05/31/2010,11.033112593580702
06/01/2010,13.616287142352903
06/02/2010,16.222681972498133
06/03/2010,19.221663943140445
06/04/2010,22.071252441210962
06/05/2010,26.068441342491052
06/06/2010,29.62703503458615
06/07/2010,35.79118928317968
06/08/2010,41.36722142582331
06/09/2010,44.62626041865244
06/10/2010,48.21820799589559
06/11/2010,49.96196848286398
06/12/2010,29.180055692162025
06/13/2010,22.695778982566303
06/14/2010,23.767076355900443
06/15/2010,26.50034210698598
06/16/2010,31.803734846898298
06/17/2010,36.20381018463615
06/18/2010,37.91992992325972
06/19/2010,41.878865335773426
06/20/2010,48.13271389056956
06/21/2010,53.90803597736807
06/22/2010,59.35187896166454
06/23/2010,62.83467342595113
06/24/2010,68.55530589169732
06/25/2010,76.29844791740068
06/26/2010,83.73660784594662
06/27/2010,89.95131290652562
06/28/2010,95.02617118328003
06/29/2010,102.41604195093474
06/30/2010,112.29122916270752
07/01/2010,120.31933075991877
07/02/2010,129.1451455215607
07/03/2010,137.2866954876617
07/04/2010,143.2127682242951
07/05/2010,145.90766250112966
07/06/2010,150.6802323105899
07/07/2010,155.22579996732267
07/08/2010,159.83412858640338
07/09/2010,165.97305935086968
07/10/2010,172.05312026204672
07/11/2010,178.63555793637053
07/12/2010,184.71373353069262
07/13/2010,191.75783619377052
07/14/2010,198.72129447222284
07/15/2010,204.15217642898193
07/16/2010,209.92318131675898
07/17/2010,218.85281355317917
07/18/2010,226.47214469919834
07/19/2010,235.06920014895755
07/20/2010,243.06651336961679
07/21/2010,249.38067258001226
07/22/2010,256.39407217454044
07/23/2010,262.2055578751399
07/24/2010,267.9549151766188
07/25/2010,274.2877764099869
07/26/2010,281.6590800544548
07/27/2010,288.5206480248793
07/28/2010,293.93521634078763
07/29/2010,299.2924655294733
07/30/2010,304.1420017943847
07/31/2010,310.1017013118088
08/01/2010,316.34167938428044
08/02/2010,321.41161579745227
