Time UTC, KBDI values
 anual mean RainFall, 18.990000
03/16/2010,0.0
03/18/2010,15.508906538398277
03/19/2010,23.947165254636662
03/20/2010,26.76974857511108
03/21/2010,30.199961259800297
03/22/2010,40.491604849972276
03/23/2010,46.65698614043112
03/24/2010,50.217689552864144
03/25/2010,55.03910014245671
03/26/2010,58.34390401372256
03/27/2010,60.086365081510756
03/28/2010,64.84431600282882
03/29/2010,71.92045893836594
03/30/2010,80.19919914536199
03/31/2010,87.9416266023339
04/01/2010,92.00044817620396
04/02/2010,93.29851150190756
04/03/2010,95.69984960320076
04/04/2010,99.24774684401224
04/05/2010,103.00198585117282
04/06/2010,105.05413584354291
04/07/2010,106.6868549960805
04/08/2010,113.36024815609773
04/09/2010,120.7459838504905
04/10/2010,128.8989200910362
04/11/2010,136.11751643230363
04/12/2010,144.53085086824544
04/13/2010,138.20534396842416
04/14/2010,141.53912067256852
04/15/2010,148.6217546254531
04/16/2010,161.24946003627772
04/17/2010,171.2805850572193
04/18/2010,182.8535334096348
04/19/2010,196.12362723954152
04/20/2010,207.23928536477504
04/21/2010,163.16404725393394
04/22/2010,151.640290925455
04/23/2010,134.99844132265304
04/24/2010,101.10353351750621
04/25/2010,109.49223375997965
04/26/2010,117.78024628240746
04/27/2010,129.08294431044519
04/28/2010,138.05259729594573
04/29/2010,144.07278449958022
04/30/2010,147.58687600224678
05/01/2010,149.50775606252807
05/02/2010,152.58233153497167
05/03/2010,154.6317611384247
05/04/2010,161.57356610236297
05/05/2010,166.19274191448292
05/06/2010,167.35477931290535
05/07/2010,168.23165906505955
05/08/2010,169.02304124634816
05/09/2010,169.8976086991869
05/10/2010,170.77096395525845
05/11/2010,171.06805555461386
05/12/2010,171.1509940468108
05/13/2010,171.1509940468108
05/14/2010,171.3898887934405
05/15/2010,171.81028148016017
05/16/2010,172.5971809138507
05/17/2010,174.18883046376857
05/18/2010,175.54621318348975
05/19/2010,175.96382626430417
05/20/2010,176.91793591657287
05/21/2010,178.49862420277597
05/22/2010,180.07530246268854
05/23/2010,181.41991744070037
05/24/2010,181.65491110482992
05/25/2010,181.78478550587167
05/26/2010,182.64166450588183
05/27/2010,183.87564763475328
05/28/2010,185.10716426357962
05/29/2010,186.1395705531335
05/30/2010,186.99041359063565
05/31/2010,188.43063007949067
06/01/2010,190.3665802895797
06/02/2010,191.91315089554274
06/03/2010,193.97940113473948
06/04/2010,196.33878121398146
06/05/2010,199.0167498606025
06/06/2010,202.8813209047791
06/07/2010,207.72848830383066
06/08/2010,211.537039264046
06/09/2010,214.89135156440096
06/10/2010,218.02603675662246
06/11/2010,220.44518390457335
06/12/2010,219.03181125867533
06/13/2010,219.68423864025078
06/14/2010,220.3359333457581
06/15/2010,221.80647511370495
06/16/2010,224.20990774992995
06/17/2010,226.30411504834507
06/18/2010,228.39070550119828
06/19/2010,230.9264850430137
06/20/2010,233.29200765679235
06/21/2010,235.64769727520354
06/22/2010,238.15128326899108
06/23/2010,240.80688185573015
06/24/2010,244.402725054325
06/25/2010,248.19583177998325
06/26/2010,251.74416097229337
06/27/2010,255.2696729392505
06/28/2010,258.9885901485658
06/29/2010,263.9089054988535
06/30/2010,268.5188296888455
07/01/2010,271.739631604526
07/02/2010,275.3461070978687
07/03/2010,279.1421099623376
07/04/2010,282.11106492443963
07/05/2010,284.40852960728506
07/06/2010,287.533039163432
07/07/2010,290.82841383067415
07/08/2010,294.1025978748568
07/09/2010,297.55639962124144
07/10/2010,301.4091244052917
07/11/2010,305.0165547847488
07/12/2010,305.59788449814954
07/13/2010,309.1750081448707
07/14/2010,312.7262504023689
07/15/2010,317.1578399516464
07/16/2010,322.64807086542334
07/17/2010,327.7826340367644
07/18/2010,332.3278992791285
07/19/2010,337.09009779532454
