Time UTC, KBDI values
 anual mean RainFall, 14.930000
04/10/2010,0.0
04/12/2010,2.027508215380491
04/13/2010,0.0
04/14/2010,0.32513721367966236
04/15/2010,1.8181637488023181
04/16/2010,4.8661228027029555
04/17/2010,8.3139745605869
04/18/2010,10.967104845577103
04/19/2010,14.388501584671648
04/20/2010,18.243172168034768
04/21/2010,5.848329098059603
04/22/2010,0.0
04/23/2010,0.0
04/24/2010,0.46053098251261754
04/25/2010,1.8361776143580166
04/26/2010,2.9897326615804376
04/27/2010,5.009663742544496
04/28/2010,7.498592162318388
04/29/2010,9.658044267401387
04/30/2010,9.658044267401387
05/01/2010,9.916490576404096
05/02/2010,0.0
05/03/2010,0.2616045443399439
05/04/2010,1.8789527671170774
05/05/2010,3.4930301512192337
05/06/2010,5.511685682439513
05/07/2010,6.279687798074822
05/08/2010,7.426820813308259
05/09/2010,10.082924163880921
05/10/2010,12.909335124676467
05/11/2010,1.2635629821495205
05/12/2010,0.0
05/13/2010,0.6899716338516352
05/14/2010,2.182317007797929
05/15/2010,3.555001222854382
05/16/2010,5.725199044817616
05/17/2010,9.169325684684992
05/18/2010,0.0
05/19/2010,0.0
05/20/2010,1.7469724173636585
05/21/2010,3.49012994394353
05/22/2010,5.983815667905484
05/23/2010,7.466277212831438
05/24/2010,0.0
05/25/2010,0.32513721367966236
05/26/2010,2.664113540208834
05/27/2010,5.517069828740987
05/28/2010,8.550904138424407
05/29/2010,11.028745764484492
05/30/2010,12.386209267625434
05/31/2010,15.02569251467173
06/01/2010,18.87723666577309
06/02/2010,18.951888478955787
06/03/2010,23.026150878130572
06/04/2010,28.45526335764523
06/05/2010,34.16625309344836
06/06/2010,39.517523998206535
06/07/2010,49.79774970509257
06/08/2010,58.91270385330675
06/09/2010,62.77851450012659
06/10/2010,68.88667355290164
06/11/2010,72.70045594548445
06/12/2010,47.288671248764956
06/13/2010,47.27930256419527
06/14/2010,40.46723524743214
06/15/2010,43.969903485102094
06/16/2010,49.2526712854813
06/17/2010,54.498525693442176
06/18/2010,57.345318072207654
06/19/2010,62.842463039061066
06/20/2010,68.9500922539859
06/21/2010,74.05831073750063
06/22/2010,78.84987681309255
06/23/2010,83.34120085540384
06/24/2010,91.58854890301396
06/25/2010,99.74098602523028
06/26/2010,107.79960446209253
06/27/2010,114.95129560041683
06/28/2010,120.9558745325567
06/29/2010,131.15899898777585
06/30/2010,140.20041239229596
07/01/2010,146.30943785344382
07/02/2010,154.68357950154956
07/03/2010,161.72312685933287
07/04/2010,167.63287542922217
07/05/2010,170.9315577512312
07/06/2010,176.44545930442317
07/07/2010,182.21889511291678
07/08/2010,187.93887519483096
07/09/2010,194.9825075742912
07/10/2010,201.94508145307836
07/11/2010,209.6064993949446
07/12/2010,215.70633983655586
07/13/2010,224.03900795370743
07/14/2010,231.4173903420672
07/15/2010,237.61987346562913
07/16/2010,244.45278960952578
07/17/2010,255.2876650529782
07/18/2010,263.91843278696666
07/19/2010,272.4124491626711
07/20/2010,281.2164648361234
07/21/2010,289.43640022027864
07/22/2010,296.71759685087795
07/23/2010,303.8949556356216
07/24/2010,310.2503386783336
